Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
Q9BYS1	reviewed	KRA15_HUMAN	Keratin-associated protein 1-5 (High sulfur keratin-associated protein 1.5) (Keratin-associated protein 1.5)	KRTAP1-5 KAP1.5 KRTAP1.5	Homo sapiens (Human)	174	KRTAP1-5	9606
Q9D312	reviewed	K1C20_MOUSE	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20)	Krt20	Mus musculus (Mouse)	431	Krt20	10090
Q9D439	reviewed	CFA53_MOUSE	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	Cfap53 Ccdc11	Mus musculus (Mouse)	514	Cfap53	10090
Q9NSB2	reviewed	KRT84_HUMAN	Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	KRT84 KRTHB4	Homo sapiens (Human)	600	KRT84	9606
Q9NSB4	reviewed	KRT82_HUMAN	Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)	KRT82 KRTHB2	Homo sapiens (Human)	513	KRT82	9606
Q9NZ50	reviewed	SYUG_BOVIN	Gamma-synuclein (Synoretin) (SR)	SNCG	Bos taurus (Bovine)	127	SNCG	9913
Q9QWL7	reviewed	K1C17_MOUSE	Keratin, type I cytoskeletal 17 (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	Krt17 Krt1-17	Mus musculus (Mouse)	433	Krt17	10090
Q9QXS1	reviewed	PLEC_MOUSE	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)	Plec Plec1	Mus musculus (Mouse)	4691	Plec	10090
Q9R0H5	reviewed	K2C71_MOUSE	Keratin, type II cytoskeletal 71 (Cytokeratin-6G) (CK-6G) (Cytokeratin-71) (CK-71) (Keratin-6G) (K6G) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (mK6irs) (mK6irs1/Krt2-6g) (Type-II keratin Kb34)	Krt71 K6irs1 Kb34 Krt2-6g Krt6g	Mus musculus (Mouse)	524	Krt71	10090
Q9UMD9	reviewed	COHA1_HUMAN	Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]	COL17A1 BP180 BPAG2	Homo sapiens (Human)	1497	COL17A1	9606
Q9Z0F7	reviewed	SYUG_MOUSE	Gamma-synuclein (Persyn)	Sncg Persyn	Mus musculus (Mouse)	123	Sncg	10090
Q9Z2K1	reviewed	K1C16_MOUSE	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	Krt16 Krt1-16	Mus musculus (Mouse)	469	Krt16	10090
Q9Z320	reviewed	K1C27_MOUSE	Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin complex-1, acidic, gene C29) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)	Krt27 c29 Krt1-c29	Mus musculus (Mouse)	448	Krt27	10090
Q9Z331	reviewed	K2C6B_MOUSE	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6-beta) (mK6-beta) (Keratin-6B) (K6B)	Krt6b K6-beta Krt2-6b	Mus musculus (Mouse)	562	Krt6b	10090
A0A059JJ46	reviewed	MDR2_TRIIM	ABC multidrug transporter MDR2 (Multidrug resistance protein 2)	MDR2 H109_00372	Trichophyton interdigitale (strain MR816)	1331	MDR2	1215338
A0A0R4IFG5	reviewed	CFA53_DANRE	Cilia- and flagella-associated protein 53	cfap53	Danio rerio (Zebrafish) (Brachydanio rerio)	519	cfap53	7955
A2A870	reviewed	FBF1_MOUSE	Fas-binding factor 1 (FBF-1)	Fbf1	Mus musculus (Mouse)	1173	Fbf1	10090
A3KN27	reviewed	K2C74_BOVIN	Keratin, type II cytoskeletal 74 (Cytokeratin-74) (CK-74) (Keratin-74) (K74) (Type II inner root sheath-specific keratin-K6irs4) (Type-II keratin Kb37)	KRT74	Bos taurus (Bovine)	550	KRT74	9913
A5A6M6	reviewed	K2C1_PANTR	Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1	Pan troglodytes (Chimpanzee)	637	KRT1	9598
A5A6M8	reviewed	K2C5_PANTR	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Pan troglodytes (Chimpanzee)	592	KRT5	9598
A6BLY7	reviewed	K1C28_MOUSE	Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)	Krt28 Krt25d	Mus musculus (Mouse)	462	Krt28	10090
A6QQQ9	reviewed	K1C20_BOVIN	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20)	KRT20	Bos taurus (Bovine)	422	KRT20	9913
A6XGK3	reviewed	MCPA_TRIRU	Metallocarboxypeptidase A (MCPA) (EC 3.4.17.-) (Carboxypeptidase M14A)	MCPA	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)	422	MCPA	5551
A7YWK3	reviewed	K2C73_BOVIN	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	KRT73	Bos taurus (Bovine)	540	KRT73	9913
B1AQ75	reviewed	KRT36_MOUSE	Keratin, type I cuticular Ha6 (Keratin-36) (K36) (Keratin-5) (MHRa-1) (Type I keratin 48 kDa)	Krt36 Hra-1 Krt1-22 Krt1-5	Mus musculus (Mouse)	473	Krt36	10090
C4YMJ3	reviewed	CARP2_CANAW	Candidapepsin-2 (EC 3.4.23.24) (ACP 2) (Aspartate protease 2) (Secreted aspartic protease 2)	SAP2 PRA11 PRA2 CAWG_02075	Candida albicans (strain WO-1) (Yeast)	398	SAP2	294748
C4YNQ5	reviewed	CARP3_CANAW	Candidapepsin-3 (EC 3.4.23.24) (ACP 3) (Aspartate protease 3) (Secreted aspartic protease 3)	SAP3 CAWG_02837	Candida albicans (strain WO-1) (Yeast)	398	SAP3	294748
C4YSF6	reviewed	CARP1_CANAW	Candidapepsin-1 (EC 3.4.23.24) (ACP 1) (Aspartate protease 1) (Secreted aspartic protease 1)	SAP1 PRA10 PRA3 CAWG_05021	Candida albicans (strain WO-1) (Yeast)	391	SAP1	294748
O19175	reviewed	KC1A_PIG	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Sus scrofa (Pig)	125	CSNK1A1	9823
O42778	reviewed	CARP8_CANAX	Secreted aspartic protease 8 (ACP 8) (Aspartate protease 8) (EC 3.4.23.24) (Candidapepsin-8)	SAP8	Candida albicans (Yeast)	405	SAP8	5476
O75690	reviewed	KRA58_HUMAN	Keratin-associated protein 5-8 (Keratin, ultra high-sulfur matrix protein B) (Keratin-associated protein 5.8) (UHS keratin B) (UHS KerB) (Ultrahigh sulfur keratin-associated protein 5.8)	KRTAP5-8 KAP5.8 KRTAP5.8 UHSKB	Homo sapiens (Human)	187	KRTAP5-8	9606
O76009	reviewed	KT33A_HUMAN	Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)	KRT33A HHA3-I HKA3A KRTHA3A	Homo sapiens (Human)	404	KRT33A	9606
P02446	reviewed	KRA31_SHEEP	Keratin-associated protein 3-1 (Keratin, high sulfur matrix protein, IIIB2)	KRTAP3-1	Ovis aries (Sheep)	98	KRTAP3-1	9940
P02447	reviewed	KRA31_CAPHI	Keratin-associated protein 3-1 (Keratin, high sulfur matrix protein, IIIB2) (Keratin-associated protein 3.2) (M1.2 protein)	KRTAP3-1	Capra hircus (Goat)	98	KRTAP3-1	9925
P02448	reviewed	KRA81_SHEEP	Keratin-associated protein 8-1 (Component 0.62) (HGT keratin) (HGT keratin component F) (Keratin, high-tyrosine matrix protein)	KRTAP8-1 HGT	Ovis aries (Sheep)	62	KRTAP8-1	9940
P05786	reviewed	K2C8_BOVIN	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Cytokeratin-A) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8	Bos taurus (Bovine)	478	KRT8	9913
P08552	reviewed	NFM_PIG	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM NEF3	Sus scrofa (Pig)	455	NEFM	9823
P08728	reviewed	K1C19_BOVIN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Bos taurus (Bovine)	399	KRT19	9913
P08802	reviewed	K118A_XENLA	Keratin, type I cytoskeletal 18-A (Cytokeratin-18-A) (CK-18-A) (Keratin, type I cytoskeletal endo B) (Keratin-18-A) (K18-A)	krt18-a	Xenopus laevis (African clawed frog)	428	krt18-a	8355
P0C7H8	reviewed	KRA23_HUMAN	Keratin-associated protein 2-3 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.3)	KRTAP2-3 KAP2.3 KRTAP2.3	Homo sapiens (Human)	128	KRTAP2-3	9606
P11088	reviewed	FILA_MOUSE	Filaggrin	Flg	Mus musculus (Mouse)	336	Flg	10090
P16053	reviewed	NFM_CHICK	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament triplet M protein)	NEFM	Gallus gallus (Chicken)	858	NEFM	9031
P18165	reviewed	LORI_MOUSE	Loricrin	Loricrin Lor	Mus musculus (Mouse)	486	Loricrin	10090
P22793	reviewed	TRHY_SHEEP	Trichohyalin	TCHH THH	Ovis aries (Sheep)	1549	TCHH	9940
P25030	reviewed	K1C20_RAT	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Cytokeratin-21) (CK-21) (Keratin-20) (K20)	Krt20 Krt21	Rattus norvegicus (Rat)	429	Krt20	10116
P32951	reviewed	CARP1_CANPA	Candidapepsin-1 (EC 3.4.23.24) (ACP 1) (Aspartate protease 1)	SAPP1 ACPR	Candida parapsilosis (Yeast)	402	SAPP1	5480
P37709	reviewed	TRHY_RABIT	Trichohyalin	TCHH THH	Oryctolagus cuniculus (Rabbit)	1407	TCHH	9986
P43095	reviewed	CARP6_CANAX	Secreted aspartic protease 6 (ACP 6) (Aspartate protease 6) (EC 3.4.23.24) (Candidapepsin-6)	SAP6	Candida albicans (Yeast)	418	SAP6	5476
P60331	reviewed	KR101_HUMAN	Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1)	KRTAP10-1 KAP10.1 KAP18-1 KRTAP10.1 KRTAP18-1 KRTAP18.1	Homo sapiens (Human)	282	KRTAP10-1	9606
P60369	reviewed	KR103_HUMAN	Keratin-associated protein 10-3 (High sulfur keratin-associated protein 10.3) (Keratin-associated protein 10.3) (Keratin-associated protein 18-3) (Keratin-associated protein 18.3)	KRTAP10-3 KAP10.3 KAP18-3 KRTAP10.3 KRTAP18-3 KRTAP18.3	Homo sapiens (Human)	221	KRTAP10-3	9606
P60413	reviewed	KR10C_HUMAN	Keratin-associated protein 10-12 (High sulfur keratin-associated protein 10.12) (Keratin-associated protein 10.12) (Keratin-associated protein 18-12) (Keratin-associated protein 18.12)	KRTAP10-12 KAP10.12 KAP18-12 KRTAP10.12 KRTAP18-12 KRTAP18.12	Homo sapiens (Human)	245	KRTAP10-12	9606
Q00663	reviewed	CARP_CANTR	Candidapepsin (EC 3.4.23.24) (ACP) (Aspartate protease) (Secreted aspartic proteinase) (SAPT)	SAPT1	Candida tropicalis (Yeast)	394	SAPT1	5482
Q02916	reviewed	NFL_COTJA	Neurofilament light polypeptide (NF-L) (Neurofilament triplet L protein)	NEFL	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)	556	NEFL	93934
Q08D91	reviewed	K2C75_BOVIN	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	KRT75	Bos taurus (Bovine)	543	KRT75	9913
Q0VBK2	reviewed	K2C80_MOUSE	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	Krt80 Kb20	Mus musculus (Mouse)	452	Krt80	10090
Q148H7	reviewed	K2C79_BOVIN	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-79) (K79) (Type-II keratin Kb38)	KRT79	Bos taurus (Bovine)	535	KRT79	9913
Q148H8	reviewed	K2C72_BOVIN	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	KRT72	Bos taurus (Bovine)	524	KRT72	9913
Q2KI74	reviewed	TRADD_BOVIN	Tumor necrosis factor receptor type 1-associated DEATH domain protein (TNFR1-associated DEATH domain protein) (TNFRSF1A-associated via death domain)	TRADD	Bos taurus (Bovine)	312	TRADD	9913
Q3LI77	reviewed	KR134_HUMAN	Keratin-associated protein 13-4	KRTAP13-4 KAP13.4	Homo sapiens (Human)	160	KRTAP13-4	9606
Q4FZU2	reviewed	K2C6A_RAT	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6A) (K6A) (Type-II keratin Kb6)	Krt6a	Rattus norvegicus (Rat)	552	Krt6a	10116
Q59XL0	reviewed	IFF6_CANAL	Cell wall protein IFF6 (Adhesin-like protein IFF6) (Hyphally regulated cell wall protein 10)	IFF6 HYR10 CAALFM_C209130CA CaO19.11553 CaO19.4072	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1085	IFF6	237561
Q5QHG5	reviewed	LAP1_TRIRU	Leucine aminopeptidase 1 (EC 3.4.11.-) (Leucyl aminopeptidase 1) (LAP1)	LAP1	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)	373	LAP1	5551
Q5QHG6	reviewed	LAP2_TRIRU	Leucine aminopeptidase 2 (EC 3.4.11.-) (Leucyl aminopeptidase 2) (LAP2)	LAP2	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)	495	LAP2	5551
Q5XQN5	reviewed	K2C5_BOVIN	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Bos taurus (Bovine)	601	KRT5	9913
Q61414	reviewed	K1C15_MOUSE	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	Krt15 Krt1-15	Mus musculus (Mouse)	452	Krt15	10090
Q6EIY9	reviewed	K2C1_CANLF	Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Epithelial keratin-1) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KER1	Canis lupus familiaris (Dog) (Canis familiaris)	619	KRT1	9615
Q6EIZ0	reviewed	K1C10_CANLF	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Epithelial keratin-10) (Keratin-10) (K10)	KRT10 KER10	Canis lupus familiaris (Dog) (Canis familiaris)	568	KRT10	9615
Q6EIZ1	reviewed	K22E_CANLF	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 K2E KRT2A	Canis lupus familiaris (Dog) (Canis familiaris)	633	KRT2	9615
Q6IFV3	reviewed	K1C15_RAT	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15) (Type I keratin Ka15)	Krt15 Ka15	Rattus norvegicus (Rat)	447	Krt15	10116
Q6IFV4	reviewed	K1C13_RAT	Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13) (Type I keratin Ka13)	Krt13 Ka13	Rattus norvegicus (Rat)	438	Krt13	10116
Q6IFW2	reviewed	K1C40_RAT	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	Krt40 Ka36	Rattus norvegicus (Rat)	431	Krt40	10116
Q6IFW3	reviewed	K1C39_RAT	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	Krt39 Ka35	Rattus norvegicus (Rat)	481	Krt39	10116
Q6IFX0	reviewed	K1C25_RAT	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1) (Type I keratin KA38)	Krt25 Ka38 Krt25a	Rattus norvegicus (Rat)	446	Krt25	10116
Q6IFX1	reviewed	K1C24_RAT	Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)	Krt24 Ka24	Rattus norvegicus (Rat)	491	Krt24	10116
Q6IFX3	reviewed	K1C40_MOUSE	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	Krt40 Ka36	Mus musculus (Mouse)	439	Krt40	10090
Q6IFX4	reviewed	K1C39_MOUSE	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	Krt39 Ka35	Mus musculus (Mouse)	482	Krt39	10090
Q6IFZ6	reviewed	K2C1B_MOUSE	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Embryonic type II keratin-1) (Keratin-77) (K77) (Type-II keratin Kb39)	Krt77 Krt1b	Mus musculus (Mouse)	572	Krt77	10090
Q6IG00	reviewed	K2C4_RAT	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)	Krt4 Kb4	Rattus norvegicus (Rat)	536	Krt4	10116
Q6IG01	reviewed	K2C1B_RAT	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)	Krt77 Kb39 Krt1b	Rattus norvegicus (Rat)	519	Krt77	10116
Q6IG02	reviewed	K22E_RAT	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	Krt2 Kb2 Krt2a	Rattus norvegicus (Rat)	685	Krt2	10116
Q6IG03	reviewed	K2C73_RAT	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	Krt73 Kb36	Rattus norvegicus (Rat)	553	Krt73	10116
Q6IG04	reviewed	K2C72_RAT	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	Krt72 Kb35	Rattus norvegicus (Rat)	520	Krt72	10116
Q6IG05	reviewed	K2C75_RAT	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	Krt75 Kb18	Rattus norvegicus (Rat)	542	Krt75	10116
Q6IG12	reviewed	K2C7_RAT	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Type-II keratin Kb7)	Krt7 Kb7 Krt2-7	Rattus norvegicus (Rat)	457	Krt7	10116
Q6IME9	reviewed	K2C72_MOUSE	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	Krt72 Kb35 Krt72-ps	Mus musculus (Mouse)	520	Krt72	10090
Q6IMF1	reviewed	K2C80_RAT	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	Krt80 Kb20	Rattus norvegicus (Rat)	452	Krt80	10116
Q6NWF6	reviewed	K2C8_DANRE	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8)	krt8 krt2-8	Danio rerio (Zebrafish) (Brachydanio rerio)	520	krt8	7955
Q6NXH9	reviewed	K2C73_MOUSE	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	Krt73 Kb36	Mus musculus (Mouse)	539	Krt73	10090
Q6P6Q2	reviewed	K2C5_RAT	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Krt5 Krt2-5	Rattus norvegicus (Rat)	576	Krt5	10116
Q6RHW0	reviewed	K1C9_MOUSE	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	Krt9 K9 Krt1-9	Mus musculus (Mouse)	743	Krt9	10090
Q701N2	reviewed	KRA55_HUMAN	Keratin-associated protein 5-5 (Keratin-associated protein 5-11) (Keratin-associated protein 5.11) (Keratin-associated protein 5.5) (Ultrahigh sulfur keratin-associated protein 5.5)	KRTAP5-5 KAP5-11 KAP5.5 KRTAP5-11 KRTAP5.11 KRTAP5.5	Homo sapiens (Human)	237	KRTAP5-5	9606
Q7ZTS4	reviewed	K1C18_DANRE	Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Dorsal aorta proneprin kinesin-1) (DreK18) (Keratin-18) (K18)	krt18 dapk1	Danio rerio (Zebrafish) (Brachydanio rerio)	431	krt18	7955
Q8BRG6	reviewed	KLH24_MOUSE	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6)	Klhl24	Mus musculus (Mouse)	600	Klhl24	10090
Q8CIS9	reviewed	K1C9_RAT	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9) (Spermatid perinuclear ring manchette protein K9)	Krt9 Krt1-9	Rattus norvegicus (Rat)	618	Krt9	10116
Q8IUC0	reviewed	KR131_HUMAN	Keratin-associated protein 13-1 (High sulfur keratin-associated protein 13.1)	KRTAP13-1 KAP13.1 KRTAP13.1	Homo sapiens (Human)	172	KRTAP13-1	9606
Q8VED5	reviewed	K2C79_MOUSE	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-79) (K79) (Type-II keratin Kb38)	Krt79 Kb38	Mus musculus (Mouse)	531	Krt79	10090
Q99M73	reviewed	KRT84_MOUSE	Keratin, type II cuticular Hb4 (65 kDa type II keratin) (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	Krt84 Krt2-16 Krthb4	Mus musculus (Mouse)	603	Krt84	10090
Q9BYQ8	reviewed	KRA49_HUMAN	Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9)	KRTAP4-9 KAP4.9 KRTAP4.9	Homo sapiens (Human)	210	KRTAP4-9	9606
Q9BYQ9	reviewed	KRA48_HUMAN	Keratin-associated protein 4-8 (Keratin-associated protein 4.8) (Ultrahigh sulfur keratin-associated protein 4.8)	KRTAP4-8 KAP4.8 KRTAP4.8	Homo sapiens (Human)	185	KRTAP4-8	9606
Q9C075	reviewed	K1C23_HUMAN	Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)	KRT23	Homo sapiens (Human)	422	KRT23	9606
Q9DCV7	reviewed	K2C7_MOUSE	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Type-II keratin Kb7)	Krt7 Krt2-7	Mus musculus (Mouse)	457	Krt7	10090
A0JND2	reviewed	K2C80_BOVIN	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	KRT80	Bos taurus (Bovine)	422	KRT80	9913
A1A580	reviewed	KR231_HUMAN	Keratin-associated protein 23-1	KRTAP23-1 KAP23.1	Homo sapiens (Human)	65	KRTAP23-1	9606
A1KQY9	reviewed	K118A_POLSE	Keratin, type I cytoskeletal 18-A (Cytokeratin-18-A) (CK-18-A) (Keratin-18-A) (K18-A)	krt18a	Polypterus senegalus (Senegal bichir)	428	krt18a	55291
A1L317	reviewed	K1C24_MOUSE	Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)	Krt24 Ka24	Mus musculus (Mouse)	512	Krt24	10090
A1L595	reviewed	K1C17_BOVIN	Keratin, type I cytoskeletal 17 (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Bos taurus (Bovine)	441	KRT17	9913
A2A5X5	reviewed	KR161_MOUSE	Keratin-associated protein 16-1	Krtap16-1 Gm11570	Mus musculus (Mouse)	502	Krtap16-1	10090
A3R044	reviewed	SSU1_ARTBC	Sulfite efflux pump SSU1	SSU1 ARB_03529 ARB_03530	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	375	SSU1	663331
A5A6M0	reviewed	K1C17_PANTR	Keratin, type I cytoskeletal 17 (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Pan troglodytes (Chimpanzee)	432	KRT17	9598
A5A6M5	reviewed	K1H1_PANTR	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 KRTHA1	Pan troglodytes (Chimpanzee)	416	KRT31	9598
A5A6N0	reviewed	K2C7_PANTR	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Type-II keratin Kb7)	KRT7	Pan troglodytes (Chimpanzee)	469	KRT7	9598
A5A6N2	reviewed	K1C25_PANTR	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1)	KRT25 KRT25A	Pan troglodytes (Chimpanzee)	450	KRT25	9598
A6NCN2	reviewed	KR87P_HUMAN	Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)	KRT87P KRT121P KRTHBP4	Homo sapiens (Human)	255	KRT87P	9606
A6QNX5	reviewed	K2C78_BOVIN	Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-78) (K78) (Type-II keratin Kb40)	KRT78	Bos taurus (Bovine)	528	KRT78	9913
A6QQJ3	reviewed	PERI_BOVIN	Peripherin	PRPH	Bos taurus (Bovine)	469	PRPH	9913
A7YWM2	reviewed	K1C40_BOVIN	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40)	KRT40	Bos taurus (Bovine)	431	KRT40	9913
A8MTY7	reviewed	KRA97_HUMAN	Keratin-associated protein 9-7 (Keratin-associated protein 9-like 1)	KRTAP9-7 KAP9.7 KRTAP9.7 KRTAP9L1	Homo sapiens (Human)	169	KRTAP9-7	9606
A8MVA2	reviewed	KRA96_HUMAN	Keratin-associated protein 9-6 (Keratin-associated protein 9-like 2)	KRTAP9-6 KAP9.6 KRTAP9.6 KRTAP9L2	Homo sapiens (Human)	160	KRTAP9-6	9606
