PROTID	GENEID	PROTLEN	AP_GFP_C_1_S2-A2_1_6530_SPC	AP_GFP_C_2_S2-A3_1_6531_SPC	AP_GFP_C_3_S2-A4_1_6532_SPC	AP_GFP_MED_NLS_1_S2-B2_1_6542_SPC	AP_GFP_MED_NLS_2_S2-B3_1_6543_SPC	AP_GFP_MED_NLS_3_S2-B4_1_6544_SPC	AP_GFP_MYC_NLS_1_S2-B6_1_6546_SPC	AP_GFP_MYC_NLS_2_S2-B7_1_6547_SPC	AP_GFP_MYC_NLS_3_S2-B8_1_6548_SPC	AP_GFP_NLS1_1_S2-A10_1_6538_SPC	AP_GFP_NLS1_2_S2-A11_1_6539_SPC	AP_GFP_NLS1_3_S2-A12_1_6540_SPC	AP_GFP_N_1_S2-A6_1_6534_SPC	AP_GFP_N_2_S2-A7_1_6535_SPC	AP_GFP_N_3_S2-A8_1_6536_SPC	AP_gfp-nls_1_S2-A7_1_4617_SPC	AP_gfp-nls_1_S2-A8_1_4618_SPC	GFP1a_Rita_AP_S1-A1_1_1425_SPC	GFP1b_Rita_AP_S1-A2_1_1426_SPC	GFP_AP1_S3-B5_1_1170_SPC	GFP_AP2_S3-B6_1_1171_SPC	GFP_AP3_S3-B7_1_1172_SPC	GFP_AP_1_S1-A8_1_4038_SPC	GFP_AP_2_S1-A9_1_4039_SPC	GFP_C_1_AP_S1-A5_1_6779_SPC	GFP_C_2_AP_S1-A6_1_6780_SPC	GFP_C_AP_1_S2-B2_1_4529_SPC	GFP_C_AP_2_S2-B3_1_4530_SPC	GFP_C_AP_3_S2-B4_1_4531_SPC	GFP_N_1_AP_S1-A8_1_6782_SPC	GFP_N_2_AP_S1-A9_1_6783_SPC	MAC2_C_GFP1_S3-A1_1_3574_SPC	MAC2_C_GFP2_S3-A2_1_3575_SPC	MAC2_C_GFP3_S3-A3_1_3576_SPC	MAC2_C_GFP4_S3-A4_1_3577_SPC	MAC2_C_GFP5_S3-A5_1_3578_SPC	MAC2_C_GFP6_S3-A6_1_3579_SPC	MAC2_C_GFP7_S3-A7_1_3580_SPC	MAC2_C_GFP8_S3-A8_1_3581_SPC	MAC2_N_GFP1_S3-B1_1_3583_SPC	MAC2_N_GFP2_S3-B2_1_3584_SPC	MAC2_N_GFP3_S3-B3_1_3585_SPC	MAC2_N_GFP4_S3-B4_1_3586_SPC	MAC2_N_GFP5_S3-B5_1_3587_SPC	MAC2_N_GFP6_S3-B6_1_3588_SPC	MAC2_N_GFP7_S3-B7_1_3589_SPC	MAC2_N_GFP8_S3-B8_1_3590_SPC	MAC_C_GFP1_S3-A1_1_3646_SPC	MAC_C_GFP2_S3-A2_1_3647_SPC	MAC_C_GFP3_S3-A3_1_3648_SPC	MAC_C_GFP4_S3-A4_1_3649_SPC	MAC_C_GFP5_S3-A5_1_3650_SPC	MAC_C_GFP6_S3-A6_1_3651_SPC	MAC_C_GFP7_S3-A7_1_3652_SPC	MAC_C_GFP8_S3-A8_1_3653_SPC	MAC_N_GFP1_S3-C1_1_3664_SPC	MAC_N_GFP2_S3-C2_1_3665_SPC	MAC_N_GFP3_S3-C3_1_3666_SPC	MAC_N_GFP4_S3-C4_1_3667_SPC	MAC_N_GFP5_S3-C5_1_3668_SPC	MAC_N_GFP6_S3-C6_1_3669_SPC	MAC_N_GFP7_S3-C7_1_3670_SPC	MAC_N_GFP8_S3-C8_1_3671_SPC	MED_1_AP_S1-A11_1_6785_SPC	MED_2_AP_S1-A12_1_6786_SPC	MYC_1_AP_S1-B2_1_6788_SPC	MYC_2_AP_S1-B3_1_6789_SPC	NLS1_1_AP_S1-A2_1_6776_SPC	NLS1_2_AP_S1-A3_1_6777_SPC	SUC_N_GFP1_S3-D1_1_3601_SPC	SUC_N_GFP2_S3-D2_1_3602_SPC	SUC_N_GFP3_S3-D3_1_3603_SPC	SUC_N_GFP4_S3-D4_1_3604_SPC	SUC_N_GFP5_S3-D5_1_3605_SPC	SUC_N_GFP6_S3-D6_1_3606_SPC	SUC_N_GFP7_S3-D7_1_3607_SPC	SUC_N_GFP8_S3-D8_1_3608_SPC
Q8NHH9	ATL2	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	23	17	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	12	14	11	9	8	10	9	9	2	2	3	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Q8NHM5	KDM2B	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	2	0	0	0	2	1
Q8NHP6	MOSPD2	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	6	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	2	5	5	3	3	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	2	0	1	2	0
Q8NHP8	PLBD2	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NHQ8	RASSF8	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NHQ9	DDX55	600	4	0	0	2	0	2	0	1	1	0	0	1	4	6	4	0	0	2	2	3	6	2	0	0	0	0	0	0	0	1	0	3	6	6	5	5	5	5	5	4	2	6	3	3	3	4	3	3	2	1	5	5	2	2	4	0	0	0	0	1	1	2	2	0	0	1	1	1	1	6	4	5	6	4	6	4	5
Q8NHU6	TDRD7	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NHV4	NEDD1	660	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	1	3	0	1	0	0	0	0	0	0	0	2	1	1	4	3	3	3	1	2	3	2	3	2	4	3	3	5	6	4	8	2	7	6	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	3	4	2	2	2	5	1
Q8NHW5	RPLP0P6	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	0	0	0	0	0	0
Q8NHY2	COP1	731	11	12	13	23	17	16	16	17	10	11	14	14	19	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	2	0	0	1	2	1	2	1	1	2	2	0	1	1	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	5	5	3	4	7	4
Q8NHZ8	CDC26	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	1	1	1	1	3	1	2	1	0	1	2	1	1	1	1	1	1	1	1	1	3	0	1	2	1	4	3	3	0	0	0	0	0	0	1	1	2	1	2	1	2	1
Q8NI22	MCFD2	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NI27	THOC2	1593	4	0	1	3	0	0	6	7	4	2	2	0	7	4	2	0	0	0	0	9	8	12	3	4	0	1	0	0	0	0	1	23	24	18	21	20	14	22	22	14	11	19	11	14	15	12	14	19	19	10	14	8	12	8	13	11	9	6	8	10	8	7	4	0	1	2	2	1	0	18	12	19	15	12	11	16	17
Q8NI35	PATJ	1801	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NI36	WDR36	951	19	15	9	14	8	13	21	17	23	12	15	4	28	24	24	0	0	0	0	1	1	2	0	0	1	3	4	0	0	14	2	5	6	8	9	9	5	7	5	3	6	3	4	3	6	2	3	2	3	2	2	1	2	3	3	1	1	0	0	0	0	0	0	2	13	2	11	15	13	8	9	6	7	7	5	5	8
Q8NI60	COQ8A	647	4	1	3	0	0	0	0	0	0	1	0	2	1	2	0	3	2	0	0	11	11	8	2	4	1	0	0	0	0	0	0	3	3	3	6	4	2	3	3	0	0	0	0	0	0	0	0	11	11	10	10	10	8	12	8	5	2	2	3	5	3	2	3	0	0	0	0	0	0	3	4	3	3	6	4	2	4
Q8TA86	RP9	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAA3	PSMA8	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAA5	GRPEL2	225	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q8TAA9	VANGL1	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	5	3	2	1	3	0	0	0	0	0	0	1	1	3	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAB3	PCDH19	1148	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAD4	SLC30A5	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAD7	OCC1	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TAE8	GADD45GIP1	222	9	8	6	10	7	8	11	8	13	6	8	5	13	13	11	3	0	0	0	14	12	15	0	0	1	1	5	4	3	0	0	18	13	13	16	15	20	18	14	13	15	25	16	14	15	14	17	9	12	10	10	13	13	15	14	11	10	14	13	17	14	10	8	0	0	1	1	1	1	25	15	19	19	22	22	17	18
Q8TAF3	WDR48	677	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	2	2	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Q8TAG9	EXOC6	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Q8TAQ2	SMARCC2	1214	4	2	0	1	1	0	3	3	1	3	4	1	5	3	0	1	2	1	0	14	6	11	0	0	0	1	0	0	0	2	0	18	24	20	17	21	26	18	23	15	22	14	20	17	17	18	20	20	20	20	17	20	22	23	25	10	13	13	8	13	11	18	11	0	1	2	0	1	3	27	21	21	23	20	26	28	15
Q8TAT6	NPLOC4	608	11	10	13	9	9	9	10	12	10	8	14	11	16	15	19	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	2	3	3	3	3	3	3	4	8	9	5	8	7	8	5	3	3	3	5	4	2	2	3	4	6	7	7	10	12	11	10	11	0	0	0	0	0	0	5	7	4	4	5	6	2	5
Q8TAV0	FAM76A	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TB05	UBALD1	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TB22	SPATA20	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TB36	GDAP1	358	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	6	4	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TB37	NUBPL	319	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	2	2	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Q8TB45	DEPTOR	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
Q8TB52	FBXO30	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Q8TB61	SLC35B2	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TB72	PUM2	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Q8TB96	ITFG1	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBA6	GOLGA5	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	0	1	1	0	0	0	0	0	0	0	2	4	2	10	5	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Q8TBB5	KLHDC4	520	0	0	0	0	0	0	0	3	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBC3	SHKBP1	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	1	2
Q8TBC4	UBA3	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBE9	NANP	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBF2	PRXL2B	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBF4	ZCRB1	217	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBK6	ZCCHC10	192	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Q8TBM8	DNAJB14	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TBX8	PIP4K2C	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TC07	TBC1D15	691	3	2	2	0	0	0	0	1	2	2	4	3	1	0	1	2	4	0	0	5	4	8	0	0	2	2	0	0	0	0	0	7	9	7	4	7	12	8	7	4	6	4	5	4	4	2	6	4	6	7	3	8	9	4	5	1	2	3	2	2	5	4	5	0	0	0	0	3	1	5	9	3	7	8	4	6	5
Q8TC12	RDH11	318	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	10	0	0	8	6	6	0	0	0	0	0	0	0	0	0	3	1	3	1	3	0	4	5	0	0	0	0	0	0	1	0	15	14	9	12	11	13	18	14	5	5	11	7	5	7	15	7	0	0	1	0	2	0	3	6	5	2	4	7	3	1
Q8TCC3	MRPL30	161	0	1	3	1	0	0	1	1	1	1	2	1	2	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	3	2	4	1	1	1	1	3	2	2	3	2	1	1	1	1	0	0	0	0	0	0	4	3	3	2	3	2	2	1
Q8TCD5	NT5C	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TCG1	CIP2A	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TCJ2	STT3B	826	2	2	0	1	0	0	3	1	0	3	2	3	2	2	1	4	3	0	0	11	9	11	0	0	0	0	1	0	0	0	0	7	9	7	8	9	8	6	7	2	3	2	6	6	4	3	2	13	9	9	8	11	11	11	12	6	4	3	3	3	3	5	6	0	0	0	0	0	0	8	5	10	10	9	6	7	7
Q8TCN5	ZNF507	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Q8TCS8	PNPT1	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
Q8TCT0	CERK	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TCT9	HM13	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	6	6	4	0	1	0	0	0	0	0	0	0	4	4	2	3	4	3	3	2	0	0	0	0	0	0	0	0	4	4	3	3	2	3	5	4	2	2	3	4	5	4	4	3	0	0	0	0	0	0	5	3	4	5	3	6	7	5
Q8TCY9	URGCP	931	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TCZ2	CD99L2	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	3	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Q8TD16	BICD2	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	1	1	2	1	10	9	6	10	8	6	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TD17	ZNF398	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TD19	NEK9	979	0	1	2	0	0	0	1	0	0	3	4	3	2	1	0	0	0	0	0	4	1	2	1	1	0	2	0	0	0	0	0	11	7	9	7	9	6	12	7	3	3	3	4	2	4	2	4	0	0	1	2	0	1	2	1	0	0	0	1	0	0	2	0	0	0	0	0	1	4	5	2	3	4	4	5	6	4
Q8TD26	CHD6	2715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Q8TD30	GPT2	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TDB6	DTX3L	740	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TDD1	DDX54	881	6	4	2	2	2	0	7	3	7	0	5	1	12	18	3	0	0	0	0	4	8	5	0	0	0	0	0	1	0	7	2	13	11	13	9	10	7	12	7	6	15	13	13	12	12	15	10	4	4	5	6	6	4	4	2	4	4	3	3	5	3	1	1	2	3	0	0	0	1	23	22	15	16	16	14	14	21
Q8TDG2	ACTRT1	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TDJ6	DMXL2	3036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TDN4	CABLES1	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
