PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
Q13972	RASGRF1	1273	0	0	0	1	1	1	1	0	1	2	1	0	0	0	1	1	1	0	1	0	2	0	1	1	2	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	2	1	0	1	0	2	1	0	1	1	0	1	0	2	1	1	0	1	0	0	1	1	0	1	1	0
Q14004	CDK13	1512	0	0	0	8	5	5	9	6	4	6	3	5	4	4	4	8	8	8	5	7	4	8	6	2	5	2	10	10	8	2	2	5	6	5	5	6	5	9	4	61	59	3	12	9	1	2	1	8	8	4	5	4	1	1	2	4	4	3	5	3	4	1	6	2	4	3	2	3	3	3	3	6	5	35	28	36	28	13	8	0	0	0	3	1	2	2	1	1	0
Q14008	CKAP5	2032	53	45	50	92	95	71	96	82	53	76	66	23	14	27	24	28	27	14	67	9	64	7	72	85	73	77	2	7	4	28	33	91	83	51	55	50	61	42	29	74	68	16	82	83	22	31	23	85	88	50	49	24	19	19	17	17	16	22	20	19	25	17	48	46	51	48	50	44	45	46	15	50	44	29	24	44	38	92	103	4	49	52	46	44	36	47	43	44	8
Q14011	CIRBP	172	0	0	0	0	0	5	0	0	2	0	3	6	4	6	8	5	6	0	2	0	3	1	4	7	7	7	0	0	0	9	6	1	1	1	2	1	1	0	0	0	0	6	0	0	5	5	8	0	0	0	0	2	3	2	5	2	3	4	3	5	2	0	3	4	4	3	4	3	1	3	1	0	1	0	0	0	0	0	0	0	2	2	3	4	3	5	3	2	0
Q14012	CAMK1	370	0	0	0	4	0	1	1	0	2	0	1	0	0	0	1	0	1	0	2	0	2	0	2	1	1	1	0	0	0	5	3	3	4	2	2	1	1	0	0	0	0	1	4	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	1	2	0	0
Q14019	COTL1	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q14103	HNRNPD	355	18	17	18	10	12	21	10	10	26	10	23	35	36	32	38	30	34	7	22	10	25	7	24	29	25	19	5	8	5	15	17	18	16	14	15	12	11	9	5	22	19	18	7	7	29	36	35	6	6	8	11	22	26	20	23	25	19	19	24	22	21	12	26	25	27	23	23	21	28	23	3	15	13	8	14	13	15	6	11	11	27	25	24	31	24	28	24	25	7
Q14108	SCARB2	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14126	DSG2	1118	31	37	31	7	14	11	10	12	11	11	17	1	1	0	12	2	4	16	9	7	17	11	9	22	22	17	7	7	11	17	13	20	21	15	14	17	14	5	3	13	5	6	8	14	30	40	43	14	17	0	1	14	6	3	8	8	8	6	9	9	16	3	18	17	21	20	23	18	16	19	2	12	8	1	1	6	8	14	24	0	17	14	16	16	16	12	14	13	1
Q14135	VGLL4	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14137	BOP1	746	0	0	1	3	2	5	5	3	6	2	3	12	13	8	7	11	10	8	5	8	3	5	4	7	7	9	3	4	4	2	3	3	9	3	2	1	4	5	3	16	12	6	7	6	2	0	1	4	9	2	2	1	4	5	6	6	6	8	5	4	3	1	2	0	7	5	5	3	3	5	0	2	5	16	12	12	14	7	6	0	1	0	2	3	0	2	1	0	0
Q14139	UBE4A	1066	2	1	3	3	0	1	4	0	1	1	1	0	0	0	0	0	0	0	3	0	5	0	1	2	3	2	0	1	0	1	0	1	0	1	1	2	4	2	1	1	2	0	3	1	1	1	0	0	2	2	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	3	1	3	4	0	0	0	0	0	0	0	0	0	0
Q14141	SEPTIN6	434	8	11	6	4	6	8	3	9	4	5	4	0	1	0	1	0	0	0	3	0	6	0	4	10	5	8	0	0	0	5	4	9	9	2	3	3	0	6	7	2	4	2	11	5	4	2	3	6	7	5	7	11	6	4	1	4	6	6	5	3	6	0	4	6	7	3	5	8	6	5	1	4	3	0	0	1	0	13	4	2	19	23	23	19	16	19	20	18	1
Q14145	KEAP1	624	0	2	0	26	13	20	20	15	22	15	27	5	4	11	12	14	12	13	20	9	21	14	17	17	16	21	5	4	5	26	22	43	39	34	37	38	37	27	27	25	24	10	17	16	8	28	4	19	18	11	13	2	0	2	1	2	1	2	1	3	0	0	0	1	0	0	5	2	2	0	0	15	13	3	3	7	10	11	17	0	1	1	0	0	0	0	0	0	0
Q14146	URB2	1524	1	1	0	1	0	0	1	0	1	1	0	1	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0
Q14147	DHX34	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14149	MORC3	939	2	4	6	4	0	7	5	1	5	1	2	18	14	26	12	23	16	1	3	0	4	0	5	7	10	3	0	0	0	2	2	1	3	2	3	3	5	1	0	35	24	1	4	2	0	0	0	2	6	3	1	3	3	2	2	3	1	1	1	1	6	0	0	0	0	3	0	0	2	0	0	1	2	13	11	14	20	4	3	0	7	5	5	3	5	6	4	6	0
Q14151	SAFB2	953	1	1	1	0	0	1	0	0	4	0	4	12	13	9	3	5	6	0	2	0	3	0	2	6	5	12	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	1	1	1	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14152	EIF3A	1382	23	17	29	49	56	33	62	49	32	46	22	28	22	29	19	19	19	22	30	23	33	15	32	58	49	49	1	4	3	13	13	35	43	41	51	49	49	48	40	39	38	23	37	24	5	13	4	35	32	32	34	35	35	39	27	24	26	29	31	27	33	18	22	24	27	38	26	25	29	27	14	19	14	13	16	17	21	33	30	5	15	30	24	20	18	23	21	21	2
Q14155	ARHGEF7	803	2	2	1	8	9	12	10	5	12	7	15	4	6	3	5	3	3	0	14	0	12	0	13	15	14	13	0	0	0	14	11	14	14	7	12	8	6	7	6	13	12	4	12	12	4	5	4	10	15	7	5	15	11	10	15	14	13	10	16	18	17	17	33	25	28	24	29	23	26	28	10	12	6	0	1	3	2	16	18	2	8	11	8	11	8	12	7	9	1
Q14156	EFR3A	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Q14157	UBAP2L	1087	57	51	58	36	29	28	41	29	30	21	28	11	12	11	12	13	15	4	28	4	27	2	25	19	20	20	2	1	3	20	23	30	24	22	20	19	21	35	38	33	22	8	37	25	20	28	16	23	29	19	13	45	31	34	36	21	29	27	32	26	43	29	62	56	59	67	56	59	66	67	21	30	27	16	7	21	17	33	38	24	57	57	68	60	62	60	66	62	20
Q14160	SCRIB	1630	11	9	8	30	36	22	22	27	21	29	20	2	2	0	4	9	3	1	21	1	16	0	22	20	30	30	0	0	0	12	12	37	31	18	19	14	24	11	9	16	12	11	26	36	24	22	14	43	47	13	15	14	17	15	16	20	15	20	18	19	22	0	11	9	8	9	12	5	9	12	1	12	14	2	6	12	12	38	34	0	4	8	5	6	5	7	5	6	0
Q14161	GIT2	759	0	1	0	4	4	6	4	4	5	7	6	0	0	0	0	0	1	0	4	0	5	0	4	9	4	7	0	0	0	7	5	13	11	5	5	6	4	3	1	10	8	1	6	6	0	0	0	7	4	0	1	3	0	1	0	2	1	4	1	2	6	6	17	8	12	11	12	15	13	16	4	7	6	0	0	0	1	8	6	0	1	1	3	2	3	2	3	3	0
Q14165	MLEC	292	6	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	1	7	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	3	2	0	0	0	0	0	1	1	2	2	1	2	2	3	1	1	1
Q14166	TTLL12	644	2	4	2	1	0	2	0	2	1	2	1	0	0	0	1	0	0	0	0	0	6	0	1	1	5	2	0	0	0	6	3	0	1	2	0	1	1	1	0	1	0	4	0	2	0	0	0	0	1	2	0	3	1	4	1	2	3	4	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	4	0	3	3	3	3	2	5	5	4	0
Q14168	MPP2	576	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	1	1	1	2	1	0
Q14181	POLA2	598	1	1	1	11	7	9	8	4	8	4	13	12	13	12	11	11	14	4	16	1	13	1	10	8	10	8	1	1	1	2	2	3	4	10	8	9	7	4	3	33	27	2	11	15	0	0	0	8	12	4	7	7	9	7	8	5	4	2	2	4	11	1	5	6	5	8	8	6	7	6	1	12	7	13	21	19	19	8	11	1	3	1	4	4	3	2	3	4	0
Q14185	DOCK1	1865	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Q14186	TFDP1	410	2	3	2	9	10	7	7	8	9	7	12	11	12	12	11	16	14	5	8	4	12	0	11	8	9	10	1	1	1	8	8	13	13	10	10	9	9	7	6	18	24	5	11	10	1	2	0	16	10	6	8	7	5	3	8	6	7	6	7	9	7	2	2	3	6	4	3	4	4	6	0	7	8	15	22	16	14	12	15	0	6	7	6	7	6	6	4	5	1
Q14188	TFDP2	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Q14191	WRN	1432	0	0	0	0	2	4	2	0	3	0	1	6	6	8	4	5	3	2	4	1	2	0	2	3	6	4	1	0	0	2	0	1	1	0	0	0	0	0	0	25	19	1	1	0	0	0	0	1	1	1	1	0	2	1	0	0	0	2	1	1	0	0	2	1	0	0	0	0	0	1	0	1	1	2	2	2	3	0	1	0	0	1	0	0	0	0	0	1	0
Q14192	FHL2	279	2	4	2	0	1	1	2	3	0	1	1	0	1	0	2	0	1	0	1	1	0	0	2	1	1	1	0	0	0	1	1	2	1	2	4	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	2	3	1	3	5	0	5	3	5	3	4	4	4	3	0	1	2	0	0	1	1	1	0	0	1	3	3	3	1	1	2	2	0
Q14194	CRMP1	572	0	0	1	2	0	1	3	0	2	0	1	0	0	1	0	0	0	0	3	0	2	0	3	1	4	3	0	0	0	3	7	9	12	17	21	10	14	7	8	10	14	6	13	12	7	9	2	10	11	7	4	9	6	6	5	5	5	6	7	6	12	0	5	1	6	4	2	4	6	4	3	14	12	1	2	2	0	12	15	0	0	0	0	0	0	0	0	0	0
Q14195	DPYSL3	570	11	7	8	33	0	25	37	0	22	0	30	8	11	11	11	14	15	3	25	2	29	1	32	31	34	36	0	0	0	35	28	41	39	45	35	46	50	26	37	36	37	22	50	40	28	28	29	37	41	14	16	36	15	13	21	19	15	18	17	13	30	5	19	22	20	21	19	25	19	26	3	27	27	12	15	16	24	43	45	0	9	10	14	14	13	13	12	12	0
Q14197	MRPL58	206	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	2	0	3	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0	3	3	2	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Q14201	BTG3	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14202	ZMYM3	1370	7	4	6	2	2	10	2	3	11	0	15	38	45	37	46	41	34	4	20	4	16	2	15	33	27	32	1	5	3	0	2	17	6	3	3	3	3	8	6	37	30	0	2	3	0	1	0	4	4	6	4	18	9	7	6	6	10	6	5	10	21	5	8	18	19	16	19	21	22	21	3	12	10	14	15	13	16	4	3	0	3	4	6	5	3	6	3	5	0
Q14203	DCTN1	1278	5	9	6	34	38	37	30	34	37	38	37	7	7	9	9	7	9	1	33	4	37	1	33	41	40	36	3	3	2	25	20	39	36	39	33	29	36	28	27	39	39	20	32	26	17	18	9	34	30	28	27	5	10	11	10	6	13	9	9	7	7	0	2	3	4	5	4	7	4	3	0	15	25	4	4	6	10	26	28	0	7	6	6	6	5	6	8	10	2
Q14204	DYNC1H1	4646	94	108	111	42	126	37	39	111	34	114	33	14	13	12	12	9	12	48	34	36	38	28	37	69	64	59	11	23	9	18	26	51	40	68	66	70	72	13	17	234	196	11	38	37	0	3	1	36	51	42	40	39	34	28	31	34	22	25	27	27	35	2	14	12	16	19	21	19	17	19	1	18	11	34	38	21	27	38	53	1	33	41	30	34	30	35	28	32	0
Q14207	NPAT	1427	1	0	0	2	0	2	2	0	1	1	5	8	8	11	9	9	11	4	1	6	2	2	0	2	1	1	0	0	0	3	2	4	5	1	0	0	0	0	0	32	30	0	2	2	0	1	0	6	4	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	2	0	0	2	0	0	1	16	13	18	16	2	6	0	0	0	0	0	1	0	0	0	1
Q14209	E2F2	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Q14232	EIF2B1	305	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	2	2	2	3	6	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	2	0	2	2	3	1	1	0	0
Q14240	EIF4A2	407	0	0	0	0	0	7	1	0	7	0	8	0	0	0	1	2	1	0	8	0	7	0	6	6	7	2	0	0	0	1	1	0	0	1	6	4	3	0	0	0	0	1	0	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q14241	ELOA	798	0	0	0	4	0	8	4	0	10	0	7	13	13	10	11	10	12	4	8	2	12	2	12	11	9	12	2	2	2	4	2	4	6	2	2	2	3	2	3	41	35	3	7	6	3	2	1	6	4	2	2	2	2	1	1	1	3	1	2	1	2	0	1	3	2	4	2	3	1	0	0	4	2	19	22	18	20	8	6	0	2	3	1	2	5	3	3	2	0
Q14244	MAP7	749	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	3	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q14247	CTTN	550	27	25	20	47	49	43	46	53	46	57	47	19	16	15	16	17	15	17	42	17	49	12	50	48	46	51	10	9	12	17	11	59	62	54	45	47	47	52	45	48	48	9	69	64	78	81	57	62	62	29	29	35	19	26	28	23	24	30	25	29	42	27	31	31	26	27	29	25	34	33	17	33	29	26	19	28	31	59	71	14	24	22	26	26	30	25	28	31	15
Q14249	ENDOG	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0
Q14254	FLOT2	428	11	15	15	3	1	4	2	4	5	3	4	0	0	0	0	1	0	0	3	0	4	0	2	4	1	4	1	0	0	2	3	8	7	3	1	3	4	1	2	3	1	4	5	4	2	4	3	2	3	6	5	13	10	4	7	8	10	10	6	10	13	20	22	22	22	26	22	23	23	21	16	7	7	1	2	2	2	6	5	1	6	8	5	10	9	7	7	7	2
Q14257	RCN2	317	5	5	4	5	6	5	5	6	8	5	8	8	10	11	8	6	9	5	6	8	7	8	6	10	10	11	7	8	9	11	10	6	6	7	7	5	6	0	0	17	18	6	6	7	4	7	4	10	9	8	6	5	5	5	4	3	5	4	5	3	10	3	4	5	9	7	4	5	5	6	6	3	2	8	7	8	12	7	7	3	6	5	6	8	6	7	8	8	5
Q14258	TRIM25	630	6	5	6	42	22	23	43	18	22	11	26	18	18	20	20	22	18	3	27	2	26	0	36	30	28	28	1	1	0	6	8	16	25	19	20	19	18	33	30	42	39	2	44	36	3	6	2	32	38	28	27	36	35	30	31	33	38	32	31	36	30	21	31	33	35	36	35	34	30	27	18	26	31	15	13	26	17	39	39	0	12	12	10	13	13	18	10	11	1
Q14315	FLNC	2725	0	0	0	1	15	0	1	20	0	19	1	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	2	2	2	0	0	0	0	1	1	1	1	1	2	1	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1	1	2	0	0	3	0	1	1	0	1	0	3	2	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0
Q14318	FKBP8	412	2	3	5	0	0	2	2	0	1	0	2	1	0	1	1	0	1	1	2	0	3	0	3	1	1	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0	2	3	1	1	1	3	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	3	6	3	3	3	5	4	4	0
Q14320	FAM50A	339	1	3	1	6	4	8	7	5	6	4	5	11	12	9	12	11	11	2	4	1	8	2	6	6	4	2	4	2	2	5	6	9	8	2	3	3	3	4	5	34	28	6	4	5	2	3	1	5	3	4	4	2	4	3	7	3	7	6	4	6	4	3	4	2	3	2	4	3	4	4	0	3	2	6	10	12	13	4	5	0	2	1	1	0	0	0	0	2	0
Q14331	FRG1	258	1	1	1	1	0	5	0	0	3	0	3	7	6	6	3	4	5	1	2	1	4	1	3	5	4	9	2	1	2	0	1	1	3	0	0	0	0	0	0	7	3	0	0	1	3	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	1	2	2	3	5	0	0	1	3	1	2	2	1	0	0	3	4	2	2	2	1	3	2	0
Q14344	GNA13	377	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
Q14353	GAMT	236	1	0	1	5	0	6	1	0	3	1	4	0	0	0	2	3	1	0	6	0	5	0	3	0	2	1	0	0	0	4	3	1	0	5	3	5	4	3	2	6	5	0	2	3	0	0	0	0	1	1	1	3	2	2	3	2	3	3	2	2	4	1	9	7	9	7	7	7	6	5	1	1	1	2	4	4	5	3	4	0	3	4	5	1	2	3	2	5	3
Q14444	CAPRIN1	709	3	6	5	4	1	5	6	3	9	1	3	6	5	2	4	5	4	0	9	1	8	1	6	3	6	4	0	0	0	8	8	7	9	7	6	6	4	6	7	2	2	4	3	4	13	11	10	5	3	4	2	12	6	8	9	8	11	8	3	7	11	2	5	9	8	10	7	6	13	12	2	5	6	1	1	3	4	4	6	1	3	3	3	3	2	3	2	2	1
Q14457	BECN1	450	0	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	1	2	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
Q14493	SLBP	270	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	2	2
